format,team1,team2,toss_winner,match_winner,venue,date
ODI,Sri Lanka,India,India,India,R Premadasa Stadium,2009-01-31
T20,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Gujarat Titans,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025-04-06
ODM,Bahrain,Qatar,Qatar,Bahrain,Gymkhana Club,2017-04-26
T20,Botswana,Nigeria,Botswana,Nigeria,"Gahanga International Cricket Stadium, Rwanda",2024-12-12
T20,South Africa,India,India,India,"Greenfield International Stadium, Thiruvananthapuram",2022-09-28
T20,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba",2017-01-25
T20,Canada,Jersey,Jersey,Canada,Tolerance Oval,2019-10-20
MDM,Lancashire,Somerset,Lancashire,No Result,"County Ground, Taunton",2016-05-01
MDM,Yorkshire,Warwickshire,Yorkshire,No Result,"Edgbaston, Birmingham",2019-09-23
T20,Scotland,Bangladesh,Bangladesh,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-10-17
T20,Canterbury,Northern Districts,Northern Districts,Northern Districts,"Hagley Oval, Christchurch",2022-01-21
ODI,New Zealand,South Africa,New Zealand,South Africa,"Seddon Park, Hamilton",2022-03-17
ODI,New Zealand,Australia,Australia,Australia,Bay Oval,2017-03-05
T20,Swaziland,Rwanda,Swaziland,Rwanda,Gahanga International Cricket Stadium. Rwanda,2021-10-22
T20,Barisal Bulls,Sylhet Super Stars,Sylhet Super Stars,Sylhet Super Stars,"Shere Bangla National Stadium, Mirpur",2015-12-06
T20,Kandy Falcons,Dambulla Aura,Kandy Falcons,Kandy Falcons,"R Premadasa Stadium, Colombo",2022-12-18
ODI,West Indies,Zimbabwe,Zimbabwe,West Indies,"National Cricket Stadium, St George's",2013-02-26
T20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",2021-09-26
T20,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",2013-04-06
ODI,Bangladesh,India,Bangladesh,India,National Stadium,2008-06-28
T20,South Africa,Sri Lanka,Sri Lanka,South Africa,SuperSport Park,2019-02-06
T20,Sri Lanka,New Zealand,Sri Lanka,New Zealand,Galle International Stadium,2012-09-30
T20,Knights,Titans,Knights,Titans,"Kingsmead, Durban",2021-02-19
T20,Nigeria,Zimbabwe,Nigeria,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",2024-03-11
Test,South Africa,Pakistan,South Africa,No Result,Gaddafi Stadium,2007-10-08
ODI,India,England,England,India,"Narendra Modi Stadium, Ahmedabad",2025-02-12
T20,Switzerland,Guernsey,Guernsey,No Result,"King George V Sports Ground, Castel",2025-08-30
ODI,Zimbabwe,Pakistan,Zimbabwe,Pakistan,Harare Sports Club,2011-09-11
T20,Essex,Kent,Kent,Essex,"County Ground, Chelmsford",2024-07-11
ODM,Durham,Northamptonshire,Northamptonshire,Durham,"County Ground, Northampton",2018-05-27
T20,Perth Scorchers,Sydney Thunder,Sydney Thunder,Perth Scorchers,W.A.C.A. Ground,2019-11-12
T20,Northamptonshire,Leicestershire,Northamptonshire,No Result,"County Ground, Northampton",2024-06-21
ODI,United Arab Emirates,Hong Kong,United Arab Emirates,United Arab Emirates,Dubai International Cricket Stadium,2017-01-26
Test,India,Australia,Australia,No Result,Carrara Oval,2021-09-30
ODM,South Australia,Queensland,South Australia,Queensland,Adelaide Oval,2021-11-28
ODM,Surrey,Lancashire,Lancashire,Lancashire,"Woodbridge Road, Guildford",2023-08-17
ODM,Derbyshire,Northamptonshire,Derbyshire,Derbyshire,"County Ground, Northampton",2014-08-11
T20,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Sheikh Zayed Stadium,2014-04-18
T20,Melbourne Stars,Perth Scorchers,Melbourne Stars,Melbourne Stars,Melbourne Cricket Ground,2020-01-18
T20,Germany,Austria,Germany,Germany,Seebarn Cricket Centre,2020-08-15
ODI,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2014-07-09
T20,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,"Gaddafi Stadium, Lahore",2024-02-19
T20,Papua New Guinea,Philippines,Philippines,Papua New Guinea,"Amini Park, Port Moresby",2023-07-28
T20,Melbourne Stars,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,Adelaide Oval,2018-01-09
T20,Scotland,Papua New Guinea,Scotland,Scotland,"VRA Ground, Amstelveen",2024-08-15
Test,Zimbabwe,Bangladesh,Bangladesh,Zimbabwe,Harare Sports Club,2013-04-17
MDM,Canterbury,Central Stags,Central Stags,Canterbury,Mainpower Oval,2019-02-21
T20,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,"Wankhede Stadium, Mumbai",2024-05-17
T20,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,Hobart Hurricanes,Queen Elizabeth II Oval,2016-12-17
T20,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,Western Australia Cricket Association Ground,2014-02-07
MDM,Derbyshire,Middlesex,Derbyshire,Middlesex,"County Ground, Derby",2024-09-17
ODI,Scotland,Netherlands,Netherlands,Scotland,"Forthill, Dundee",2025-06-06
T20,Peshawar Zalmi,Islamabad United,Islamabad United,Islamabad United,"National Stadium, Karachi",2024-03-16
ODI,New Zealand,England,New Zealand,New Zealand,AMI Stadium,2008-02-23
T20,Madhya Pradesh,Puducherry,Puducherry,Madhya Pradesh,Wankhede Stadium,2019-11-18
Test,Australia,England,Australia,Australia,Western Australia Cricket Association Ground,2013-12-13
T20,Rangpur Riders,Rajshahi Warriors,Rajshahi Warriors,Rajshahi Warriors,Sylhet International Cricket Stadium,2026-01-11
Test,Australia,Sri Lanka,Sri Lanka,Australia,Melbourne Cricket Ground,2012-12-26
T20,Nepal,Qatar,Nepal,Nepal,"West End Park International Cricket Stadium, Doha",2021-11-18
MDM,Middlesex,Sussex,Middlesex,Sussex,"County Ground, Hove",2018-05-04
T20,Hong Kong,Singapore,Singapore,Hong Kong,"Bayuemas Oval, Kuala Lumpur",2024-09-02
T20,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,Perth Scorchers,Traeger Park,2019-01-13
T20,Hyderabad (India),Goa,Hyderabad (India),Hyderabad (India),Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,2018-01-09
T20,Northern Districts,Central Districts,Central Districts,Central Districts,"Pukekura Park, New Plymouth",2022-12-31
ODI,New Zealand,South Africa,South Africa,South Africa,Eden Park Outer Oval,2020-01-25
MDM,Glamorgan,Gloucestershire,Glamorgan,No Result,"County Ground, Bristol",2015-09-22
ODI,India,England,England,England,"County Ground, Bristol",2021-06-27
T20,Ireland,New Zealand,Ireland,New Zealand,YMCA Cricket Club,2018-06-06
ODI,India,England,England,India,"Punjab Cricket Association Stadium, Mohali",2011-10-20
ODI,Australia,New Zealand,New Zealand,No Result,Sydney Cricket Ground,2007-12-16
T20,Jharkhand,Tamil Nadu,Jharkhand,Tamil Nadu,C B Patel Ground,2019-11-27
T20,Australia,West Indies,West Indies,Australia,Melbourne Cricket Ground,2014-11-07
ODI,United States of America,United Arab Emirates,United Arab Emirates,United States of America,"United Cricket Club Ground, Windhoek",2024-09-24
T20,Perth Scorchers,Sydney Sixers,Sydney Sixers,Perth Scorchers,Manuka Oval,2015-01-28
T20,South Africa,Pakistan,Pakistan,Pakistan,LC de Villiers Oval,2019-05-15
T20,Oman,Canada,Canada,Canada,"Maple Leaf North-West Ground, King City",2024-10-03
IT20,United Arab Emirates,Malaysia,United Arab Emirates,United Arab Emirates,Terdthai Cricket Ground,2017-11-26
ODI,New Zealand,India,New Zealand,India,AMI Stadium,2009-03-08
T20,Adelaide Strikers,Sydney Thunder,Sydney Thunder,Sydney Thunder,Adelaide Oval,2019-12-31
T20,North-West Warriors,Munster Reds,North-West Warriors,Munster Reds,"Pembroke Cricket Club, Sandymount, Dublin",2021-06-19
ODI,Pakistan,South Africa,South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",2024-12-22
T20,Netherlands,Thailand,Netherlands,Thailand,"Tribhuvan University International Cricket Ground, Kirtipur",2025-01-31
T20,Malaysia,Hong Kong,Malaysia,Malaysia,Kinrara Academy Oval,2020-02-21
T20,Germany,Ireland,Germany,Ireland,"Hazelaarweg, Rotterdam",2025-08-20
T20,Pakistan,Sri Lanka,Pakistan,Pakistan,Shere Bangla National Stadium,2016-03-04
ODI,Scotland,Ireland,Scotland,Ireland,"Gaddafi Stadium, Lahore",2025-04-18
T20,Rajasthan,Haryana,Haryana,Rajasthan,Alembic 2  Cricket Ground,2021-11-09
ODI,Ireland,Pakistan,Ireland,Ireland,"Sabina Park, Kingston",2007-03-17
T20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Dr DY Patil Sports Academy,2008-05-07
T20,Mali,Malawi,Mali,Malawi,University of Dar-es-Salaam Ground,2024-09-24
ODI,South Africa,Australia,South Africa,South Africa,Senwes Park,2020-03-07
T20,Paarl Rocks,Tshwane Spartans,Paarl Rocks,Tshwane Spartans,"Boland Park, Paarl",2019-11-17
T20,Pakistan,Australia,Pakistan,No Result,"Bready Cricket Club, Magheramason, Bready",2022-07-16
T20,Chattogram Challengers,Fortune Barishal,Fortune Barishal,Fortune Barishal,"Shere Bangla National Stadium, Mirpur",2022-01-21
T20,Kenya,United Arab Emirates,Kenya,United Arab Emirates,Entebbe Cricket Oval,2025-07-23
T20,Trent Rockets,Oval Invincibles,Oval Invincibles,Oval Invincibles,"Trent Bridge, Nottingham",2022-08-17
T20,Cook Islands,Fiji,Fiji,Fiji,"Albert Park 1, Suva",2025-09-09
MDM,Durham,Nottinghamshire,Durham,No Result,"Trent Bridge, Nottingham",2020-09-06
T20,London Spirit,Oval Invincibles,London Spirit,Oval Invincibles,"Kennington Oval, London",2021-08-14
T20,Cape Cobras,Titans,Titans,No Result,"SuperSport Park, Centurion",2016-11-25
ODI,Ireland,Netherlands,Netherlands,Ireland,Clontarf Cricket Club Ground,2010-08-18
T20,Australia,India,Australia,Australia,Junction Oval,2020-02-12
T20,Qatar,Indonesia,Indonesia,Indonesia,"Bayuemas Oval, Kuala Lumpur",2024-02-13
T20,Wellington,Northern Districts,Wellington,Northern Districts,Bay Oval,2020-01-01
ODI,New Zealand,Pakistan,New Zealand,New Zealand,Sheikh Zayed Stadium,2009-11-06
T20,Mozambique,Eswatini,Mozambique,Mozambique,"Botswana Cricket Association Oval 2, Gaborone",2025-04-27
ODI,United States of America,Papua New Guinea,Papua New Guinea,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2021-09-09
Test,Sri Lanka,West Indies,Sri Lanka,Sri Lanka,Galle International Stadium,2021-11-29
T20,Antigua and Barbuda Falcons,St Lucia Kings,St Lucia Kings,St Lucia Kings,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2025-08-31
T20,Lahore Qalandars,Islamabad United,Islamabad United,Lahore Qalandars,"National Stadium, Karachi",2022-02-05
T20,Romania,Hungary,Romania,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",2021-09-03
T20,Lancashire,Worcestershire,Lancashire,Lancashire,Old Trafford,2014-05-17
T20,St Lucia Kings,Guyana Amazon Warriors,Guyana Amazon Warriors,Guyana Amazon Warriors,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2024-09-07
ODI,England,West Indies,England,England,County Ground,2009-05-24
T20,Pokhara Avengers,Janakpur Bolts,Janakpur Bolts,Janakpur Bolts,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-05
T20,Trinbago Knight Riders,Guyana Amazon Warriors,Trinbago Knight Riders,Trinbago Knight Riders,"Providence Stadium, Guyana",2024-09-29
T20,United Arab Emirates,Bahrain,Bahrain,United Arab Emirates,"Bayuemas Oval, Kuala Lumpur",2023-09-04
ODI,Scotland,United Arab Emirates,Scotland,United Arab Emirates,"Moosa Cricket Stadium, Pearland",2022-06-03
ODI,England,West Indies,West Indies,West Indies,Lord's,2004-07-06
T20,Central Districts,Auckland,Auckland,Central Districts,Eden Park Outer Oval,2019-02-15
T20,Glamorgan,Surrey,Surrey,Glamorgan,"Sophia Gardens, Cardiff",2021-06-29
T20,Japan,Cook Islands,Cook Islands,Japan,Vanuatu Cricket Ground,2023-09-01
T20,Bangladesh,Pakistan,Bangladesh,Pakistan,"Shere Bangla National Stadium, Mirpur",2021-11-22
T20,Canterbury,Otago,Otago,Canterbury,"Molyneux Park, Alexandra",2024-12-27
T20,Tripura,Mizoram,Tripura,Tripura,"ACA Stadium,Mangalagiri",2021-11-05
MDM,Western Australia,Victoria,Victoria,Western Australia,"Junction Oval, Melbourne",2024-03-11
T20,Australia,West Indies,Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-12
T20,Delhi,Puducherry,Puducherry,Delhi,Sharad Pawar Cricket Academy BKC,2021-01-19
T20,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,St George's Park,2009-05-03
ODM,Ace Capital Cricket Club,Panadura Sports Club,Ace Capital Cricket Club,Ace Capital Cricket Club,Sri Lanka Army Ordnance Corps International Cricket Stadium,2024-07-30
ODM,Durham,Hampshire,Durham,Hampshire,"Riverside Ground, Chester-le-Street",2025-09-07
ODM,Lancashire,Warwickshire,Warwickshire,Warwickshire,"Edgbaston, Birmingham",2019-05-04
T20,Tornadoes,Barmy Army,Barmy Army,Barmy Army,Dubai International Cricket Stadium,2022-05-08
ODI,England,South Africa,South Africa,England,County Ground,2018-06-12
T20,Leinster Lightning,Munster Reds,Munster Reds,No Result,"Bready Cricket Club, Magheramason, Bready",2022-06-10
T20,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Feroz Shah Kotla,2016-04-15
T20,South Africa,Pakistan,Pakistan,Pakistan,"Gaddafi Stadium, Lahore",2025-11-01
T20,South Africa,Thailand,South Africa,South Africa,Manuka Oval,2020-02-28
MDM,Auckland Aces,Canterbury,Canterbury,Canterbury,"Hagley Oval, Christchurch",2025-12-13
T20,Birmingham Bears,Yorkshire,Birmingham Bears,Yorkshire,Edgbaston,2019-08-30
T20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2013-04-22
T20,Nottinghamshire,Northamptonshire,Nottinghamshire,Northamptonshire,Edgbaston,2016-08-20
T20,South Africa,New Zealand,New Zealand,New Zealand,SuperSport Park,2015-08-16
T20,Paarl Rocks,Nelson Mandela Bay Giants,Nelson Mandela Bay Giants,Paarl Rocks,"St George's Park, Port Elizabeth",2019-11-27
Test,England,Pakistan,Pakistan,Pakistan,Dubai International Cricket Stadium,2015-10-22
T20,Peshawar Zalmi,Islamabad United,Islamabad United,Islamabad United,"National Stadium, Karachi",2022-01-30
Test,South Africa,New Zealand,New Zealand,South Africa,SuperSport Park,2016-08-27
T20,Namibia,Uganda,Namibia,Uganda,Entebbe Cricket Oval,2025-03-16
ODI,Namibia,Netherlands,Netherlands,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",2024-02-23
T20,Indonesia,Japan,Japan,Indonesia,"Ground 2, Independence Park",2019-05-06
ODI,India,Australia,India,Australia,"Wankhede Stadium, Mumbai",2023-12-28
MDM,Kent,Hampshire,Hampshire,Kent,"The Rose Bowl, Southampton",2022-09-20
IT20,Malaysia,Singapore,Singapore,Malaysia,Sharjah Cricket Stadium,2015-01-30
ODI,Scotland,Kenya,Scotland,No Result,Cambusdoon New Ground,2008-08-12
MDM,Derbyshire,Glamorgan,Derbyshire,Derbyshire,"Sophia Gardens, Cardiff",2017-06-26
T20,Kuwait,Singapore,Singapore,Singapore,"YSD-UKM Cricket Oval, Bangi",2024-09-06
T20,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium,2008-05-01
T20,Knights,Titans,Titans,Titans,"SuperSport Park, Centurion",2019-04-26
ODM,Thunder,Northern Diamonds,Thunder,Northern Diamonds,"Headingley, Leeds",2020-09-19
T20,Mozambique,Sierra Leone,Sierra Leone,Sierra Leone,"Botswana Cricket Association Oval 1, Gaborone",2025-04-29
ODI,Ireland,Zimbabwe,Zimbabwe,Ireland,"Civil Service Cricket Club, Stormont",2019-07-04
T20,Rajasthan,Uttarakhand,Uttarakhand,Uttarakhand,"Saurashtra Cricket Association Stadium, Rajkot",2022-10-16
T20,West Indies,England,England,England,"Kensington Oval, Bridgetown, Barbados",2024-11-10
T20,Knights,Cape Cobras,Knights,Cape Cobras,"Newlands, Cape Town",2016-12-07
IT20,Qatar,United Arab Emirates,Qatar,United Arab Emirates,Tack-Tec Ground,2018-04-20
T20,Rangpur Riders,Khulna Tigers,Rangpur Riders,Khulna Tigers,"Shere Bangla National Stadium, Mirpur",2025-02-03
T20,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,No Result,Sydney Showground Stadium,2020-10-31
T20,Scotland,England,Scotland,England,Sharjah Cricket Stadium,2024-10-13
MDM,Somerset,Yorkshire,Somerset,Yorkshire,"North Marine Road Ground, Scarborough",2021-09-05
MDM,Yorkshire,Leicestershire,Leicestershire,Leicestershire,"Headingley, Leeds",2023-04-06
MDM,Sinhalese Sports Club,Burgher Recreation Club,Burgher Recreation Club,Burgher Recreation Club,"Burgher Recreation Club Ground, Colombo",2025-01-24
T20,Somerset,Middlesex,Somerset,Middlesex,Kennington Oval,2014-06-18
MDM,Derbyshire,Kent,Kent,No Result,"County Ground, Derby",2014-05-11
T20,Netherlands,Vanuatu,Netherlands,Netherlands,"Tolerance Oval, Abu Dhabi",2024-04-27
T20,Supernovas,Velocity,Velocity,Supernovas,"Sawai Mansingh Stadium, Jaipur",2019-05-09
T20,North West,Titans,North West,Titans,"Senwes Park, Potchefstroom",2022-10-22
T20,England,Pakistan,Pakistan,England,"Edgbaston, Birmingham",2024-05-11
T20,Guyana Amazon Warriors,Trinbago Knight Riders,Trinbago Knight Riders,Trinbago Knight Riders,"Brian Lara Stadium, Tarouba",2017-09-07
T20,Northern Superchargers,London Spirit,London Spirit,Northern Superchargers,"Headingley, Leeds",2022-08-14
Test,Australia,Pakistan,Australia,Australia,Sydney Cricket Ground,2010-01-03
ODM,Essex,Hampshire,Essex,Hampshire,"The Rose Bowl, Southampton",2022-08-21
ODI,Bangladesh,Bermuda,Bangladesh,Bangladesh,"Queen's Park Oval, Port of Spain",2007-03-25
T20,Colombo Stars,Dambulla Aura,Colombo Stars,Colombo Stars,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2022-12-08
T20,Quetta Gladiators,Islamabad United,Islamabad United,Islamabad United,Rawalpindi Cricket Stadium,2023-03-05
T20,Titans,Lions,Lions,Titans,"Senwes Park, Potchefstroom",2014-01-17
ODM,Warwickshire,Durham,Durham,Durham,"Edgbaston, Birmingham",2019-04-26
T20,Jamaica Tallawahs,St Lucia Kings,Jamaica Tallawahs,Jamaica Tallawahs,"Warner Park, Basseterre, St Kitts",2021-09-09
MDM,Nottinghamshire,Yorkshire,Yorkshire,Nottinghamshire,"Trent Bridge, Nottingham",2021-09-21
T20,Tanzania,Eswatini,Tanzania,Tanzania,"Botswana Cricket Association Oval 1, Gaborone",2021-09-14
T20,Surrey,Middlesex,Surrey,Surrey,Kennington Oval,2017-07-21
T20,South Africa,West Indies,West Indies,West Indies,"SuperSport Park, Centurion",2023-03-25
ODI,Nepal,United Arab Emirates,United Arab Emirates,United Arab Emirates,"ICC Academy, Dubai",2025-11-05
IT20,Israel,Czech Republic,Czech Republic,Czech Republic,VRA Ground,2018-09-01
T20,Singapore,Malaysia,Singapore,Malaysia,"Indian Association Ground, Singapore",2022-07-08
ODI,United Arab Emirates,Zimbabwe,Zimbabwe,Zimbabwe,"Queens Sports Club, Bulawayo",2025-09-28
T20,Ghana,Kenya,Ghana,Kenya,Kyambogo Cricket Oval,2019-05-21
T20,Gloucestershire,Kent,Kent,Kent,"County Ground, Bristol",2023-06-17
T20,Nottinghamshire,Derbyshire,Derbyshire,Nottinghamshire,"Trent Bridge, Nottingham",2021-06-18
ODM,Kenya,United Arab Emirates,Kenya,Kenya,Gymkhana Club Ground,2011-07-25
T20,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Melbourne Stars,Aurora Stadium,2019-12-30
T20,Hampshire,Nottinghamshire,Nottinghamshire,Hampshire,"Trent Bridge, Nottingham",2021-08-25
Test,Australia,Sri Lanka,Australia,Australia,Bellerive Oval,2012-12-14
T20,Northamptonshire,Worcestershire,Northamptonshire,Northamptonshire,"County Ground, Northampton",2024-06-07
ODI,New Zealand,Bangladesh,Bangladesh,New Zealand,University Oval,2019-02-20
ODM,Essex,Surrey,Surrey,Surrey,"County Ground, Chelmsford",2023-08-22
T20,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,M Chinnaswamy Stadium,2013-05-14
ODI,Australia,Sri Lanka,Sri Lanka,Sri Lanka,Melbourne Cricket Ground,2012-03-02
T20,Ireland,Sri Lanka,Ireland,Ireland,"Pembroke Cricket Club, Sandymount, Dublin",2024-08-13
T20,Indonesia,Mongolia,Indonesia,Indonesia,Udayana Cricket Ground,2024-04-24
T20,Worcestershire,Leicestershire,Worcestershire,Leicestershire,"Grace Road, Leicester",2021-07-18
T20,Essex,Hampshire,Hampshire,Essex,County Ground,2016-06-24
T20,Netherlands,Ireland,Ireland,Ireland,"VRA Ground, Amstelveen",2023-08-14
T20,Sussex,Glamorgan,Glamorgan,No Result,Sophia Gardens,2017-07-21
MDM,Northamptonshire,Middlesex,Northamptonshire,Middlesex,"County Ground, Northampton",2014-05-18
T20,Denmark,Finland,Finland,Finland,"Svanholm Park, Brondby",2022-05-07
MDM,Middlesex,Worcestershire,Worcestershire,Middlesex,"County Ground, New Road, Worcester",2019-05-27
T20,Indonesia,Cambodia,Cambodia,Indonesia,Udayana Cricket Ground,2025-12-23
T20,Sydney Thunder,Brisbane Heat,Brisbane Heat,Sydney Thunder,Blacktown International Sportspark,2017-01-02
T20,Kenya,Lesotho,Kenya,Kenya,Integrated Polytechnic Regional Centre,2022-11-21
MDM,Queensland,Tasmania,Tasmania,Queensland,"Bellerive Oval, Hobart",2025-03-06
T20,United States of America,Canada,United States of America,United States of America,"St Albans Club, Buenos Aires",2025-03-17
T20,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,2013-04-14
ODI,Namibia,Nepal,Nepal,Namibia,"United Cricket Club Ground, Windhoek",2022-12-07
