format,team1,team2,toss_winner,match_winner,venue,date
T20,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2011-04-16
ODI,New Zealand,Sri Lanka,New Zealand,New Zealand,"Saxton Oval, Nelson",2025-03-09
MDM,Kent,Sussex,Kent,Kent,"County Ground, Hove",2017-04-14
MDM,Durham,Northamptonshire,Northamptonshire,Northamptonshire,"Riverside Ground, Chester-le-Street",2018-08-29
T20,Madhya Pradesh,Services,Madhya Pradesh,Madhya Pradesh,Holkar Stadium,2021-01-19
T20,Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2012-04-09
T20,Bahrain,Canada,Canada,Canada,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-11-14
T20,Sikkim,Meghalaya,Meghalaya,Meghalaya,Sri Ramachandra Medical College,2021-01-19
T20,Canada,Cayman Islands,Canada,Canada,"White Hill Field, Sandys Parish",2023-10-01
T20,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,Sydney Thunder,"Manuka Oval, Canberra",2023-01-19
ODI,Namibia,Oman,Oman,Oman,"Forthill, Dundee",2024-07-24
T20,Kent,Essex,Essex,Kent,"St Lawrence Ground, Canterbury",2021-06-20
MDM,Glamorgan,Warwickshire,Warwickshire,Warwickshire,"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay",2018-08-29
ODM,Ghana,Vanuatu,Ghana,Vanuatu,Faleata Oval No 1,2012-09-17
ODI,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,Shere Bangla National Stadium,2014-02-22
T20,West Indies,South Africa,South Africa,West Indies,"The Wanderers Stadium, Johannesburg",2023-03-28
T20,Auckland,Otago,Auckland,Otago,"Eden Park, Auckland",2022-01-15
ODM,Japan,Philippines,Philippines,Philippines,White Hills Oval,2017-02-25
T20,Oman,United States of America,Oman,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2025-02-23
MDM,Derbyshire,Gloucestershire,Gloucestershire,Gloucestershire,"County Ground, Derby",2018-09-24
T20,Warwickshire,Durham,Warwickshire,Warwickshire,Edgbaston,2016-06-03
T20,Vanuatu,Samoa,Samoa,No Result,"Amini Park, Port Moresby",2025-06-15
T20,United Arab Emirates,Nigeria,United Arab Emirates,United Arab Emirates,Entebbe Cricket Oval,2025-07-26
ODI,Sri Lanka,West Indies,Sri Lanka,West Indies,County Ground,2017-07-09
T20,Lancashire,Birmingham Bears,Lancashire,Birmingham Bears,"Edgbaston, Birmingham",2023-05-29
ODI,South Africa,Sri Lanka,South Africa,South Africa,St George's Park,2017-01-28
T20,Melbourne Stars,Sydney Thunder,Melbourne Stars,Sydney Thunder,Lavington Sports Oval,2016-12-13
T20,Australia,West Indies,West Indies,West Indies,"Brisbane Cricket Ground, Woolloongabba",2013-02-13
T20,Australia,Pakistan,Australia,Pakistan,Shere Bangla National Stadium,2014-03-23
MDM,Lancashire,Nottinghamshire,Nottinghamshire,No Result,"Trent Bridge, Nottingham",2023-05-04
MDM,Victoria,New South Wales,Victoria,Victoria,"Drummoyne Oval, Sydney",2021-10-27
T20,New Zealand,Bangladesh,Bangladesh,New Zealand,Seddon Park,2010-02-03
ODI,New Zealand,Bangladesh,Bangladesh,No Result,"Shere Bangla National Stadium, Mirpur",2023-09-21
T20,Singapore,Saudi Arabia,Singapore,Saudi Arabia,"Bayuemas Oval, Kuala Lumpur",2025-04-29
Test,Pakistan,England,Pakistan,No Result,The Rose Bowl,2020-08-13
MDM,Negombo Cricket Club,Police Sports Club,Police Sports Club,No Result,"Police Park Ground, Colombo",2025-01-17
T20,Texas Super Kings,MI New York,Texas Super Kings,Texas Super Kings,Grand Prairie Stadium,2023-07-17
